Syntrophomonadales,Syntrophomonadaceae bacterium,2093811
Tepidisphaerales,Tepidisphaeraceae bacterium,2876886
Thermotogae,uncultured Thermotogae bacterium,453412
Thiodubiliella,Candidatus Thiodubiliella sp.,3019443
Thiomicrospirales,uncultured Thiomicrospira sp.,263916
Thiovulaceae,Sulfurimonadaceae bacterium,2771476
Treponematales,Treponemataceae bacterium,2854022
Vampirovibrionia,Vampirovibrionales bacterium,2692181
Vecturithrix,Candidatus Vecturithrix sp.,3068764
Velocimicrobium,uncultured Velocimicrobium sp.,2968039
Versatilivorator,Candidatus Versatilivorator sp.,3101291
Versatilivorator vitaminiformans,Candidatus Versatilivorator vitaminiformans,3004228
Versatilivoraceae,Candidatus Versatilivoraceae bacterium,3107276
Versatilivoradales,Candidatus Versatilivoradales bacterium,3107277
Vondammii,Candidatus Vondammii sp.,3100457
Woesearchaeales,Candidatus Woesearchaeota archaeon,2026803
Xanthomonadales,Lysobacterales bacterium,2006849
Xenococcaceae,uncultured Xenococcaceae cyanobacterium,1665022
Zixibacteria,uncultured candidate division Zixibacteria bacterium,1664345
